Data Export - Filters applied:    (none) Data As Of FEB 2024,,,,,,,,,,,,,,,
Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Postal Code,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Country/Region
Ajara 1,FINISHED GOODS,Apparel,Nike,,MILTEKS,Bobokvati Street 14 Bobokvati Village,Kobuleti,Ajaria,6200,EMEA,1573,1428,96,0,Georgia
"H&L APPAREL(VIETNAM) CO.,LTD",FINISHED GOODS,Apparel,Nike,,H&L,Lot D 11 CN My Phuoc 2 IP My Phuoc Ward,Ben Cat District,Bình Duong,590000,SE ASIA,850,800,80,0,Vietnam
PT Rodeo Prima Jaya,FINISHED GOODS,Apparel,Nike,,PRIMA,Jl Raya Kaligawe Km 7 Semarang,Semarang,Jawa Tengah,50117,S ASIA,609,560,89,0,Indonesia
DAEWON (KOREA),MATERIALS,Footwear,Nike,,DAEWON,868 14 Gyeonggi daero,Osan Si,Gyeonggido,18111,N ASIA,150,90,0,0,South Korea
FUQING TIONGLIONG XINYE SHOES MATERIAL CO LTD,MATERIALS,Footwear,Nike,,TIONG LIONG GROUP,Hongkuan Industry Village,Fuqing City,Fujian,350323,N ASIA,122,70,19,0,China
"NINGBO MITSUBANA APPERAL CO., LTD",FINISHED GOODS,Apparel,Converse,,NINGBO MITSUBANA,NO 1338 YUFAN ROAD E ZHENHAI,NINGBO,Zhejiang,315207,N ASIA,76,72,79,0,China
Far Eastern Apparal Suzhou Ltd. Co,FINISHED GOODS,Apparel,Nike,Collegiate,FAR EASTERN,88 Tianling RD,Suzhou,Jiangsu,215128,N ASIA,712,457,91,0,China
"Qingdao Changshin Shoes Co., Ltd.",FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Matiquan Road 6,QingDao,Shandong,266300,N ASIA,2714,2244,90,0,China
"MANUFACTURE OF ARTISTIC BELT & ACCESSORIES CO., LTD.",FINISHED GOODS,Equipment,Nike,,ARTISTIC BELT AND ACCESSORIES,"Factory 7, DE1B & DE1 St., My Phuoc 3 Industrial Park,",Ben Cat Town,Bình Duong,82575,SE ASIA,42,35,85,9,Vietnam
"Regina Miracle International Vietnam Co., Ltd",FINISHED GOODS,Apparel,Nike,,REGINA MIRACLE,NO 9 East West Road VSIP Hai Phong,Hai Phong,Hai Phong,180000,SE ASIA,1848,1750,71,0,Vietnam
MAXIM IMPRESSION LANKA (PVT) LTD,MATERIALS,Apparel,Nike,,MAXIM,62 4 Habarakada Homagama,Homagama,Colombo,10200,S ASIA,168,96,28,0,Sri Lanka
PT Adis Dimension Footwear,FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,Jl. Raya Serang Km. 24,Tangerang,Banten,15610,S ASIA,7363,7111,51,0,Indonesia
Walt Technology Cambodia Co Ltd,FINISHED GOODS,Equipment,Nike,,ZHEJIANG WALT,NO 212 km Highway No 4,Sihanouk ville,Krong Preah Sihano,18205,SE ASIA,796,753,40,3,Cambodia
Song Lin Garment Sdn Bhd,FINISHED GOODS,Apparel,Nike,,RAMATEX,Lot 2552,Batu Pahat,Johor,83000,S ASIA,925,917,42,91,Malaysia
"ECLAT TEXTILE CO., LTD. (VIETNAM)",FINISHED GOODS,Apparel,Nike,Collegiate,ECLAT,5A ROAD NHON TRACH 2 INDUSTRIAL ZONE NHON TRACH DIST,Nhon Trach,Ðng Nai,810000,SE ASIA,5156,4254,90,0,Vietnam
Delta Galil Industries LTD Egypt,FINISHED GOODS,Apparel,Nike,,DELTA,Delta Textile Shamal El Saeed,El-Minya,AI Minya,61784,EMEA,2603,2438,83,0,Egypt
"Young Clothing (Cambodia) Co., Ltd",FINISHED GOODS,Apparel,Nike,,YOUNG CLOTHING,Romlech Village Rolaing Krerl Commune,Phnom Penh,Kampong Spueu,050106,SE ASIA,642,607,87,0,Cambodia
"ACode Sporting Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,,EXCELLENCE SPORTING GOODS,No 32 VSIP II A Street 31,Bac Tan Uyen,Bình Duong,822710,SE ASIA,347,318,79,0,Vietnam
SON KHA COMPANY LIMITED,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,441D Pham Van Chieu Street Ward 14 Go Vap District,Ho Chi Minh,Ho Chi Minh,700000,SE ASIA,47,43,70,0,Vietnam
ZHIXIANG KNITTING CLOTHING FACTORY,FINISHED GOODS,Apparel,Nike,,ZHIXIANG KNITTING FACTORY,NO 9 TONGGUANG ROAD,YAN CHENG,Jiangsu,224373,N ASIA,288,266,86,0,China
"Delta Galil Vietnam Co., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,DELTA,Phu Kim Village Cat Trinh Commune Phu Cat District,Phu Cat,Bình Ðnh,55000,SE ASIA,3375,2467,75,0,Vietnam
"INDUSTRIAS MERLET, S.A. DE C.V.",FINISHED GOODS,Apparel,Nike,,INDUSTRIAS MERLET,Calle Circunvalacion No 3 Poligono A,Antiguo Cuscatlan,La Libertad,1502,AMERICAS,909,809,60,0,El Salvador
Quanzhou  Fengze Yisheng Leather Co,FINISHED GOODS,Apparel,Converse,,GRUPO MEXICO,BUILDING 3  SOUTH  XUNMEI  INDUSTRY  DISTRICT,Quanzhou,Fujian,362000,N ASIA,37,32,53,0,China
UAB Haltex,FINISHED GOODS,Apparel,Nike,,UAB HALTEX,Audeju str,Alytus,Alytaus Apskritis,62175,EMEA,327,258,91,2,Lithuania
Paxar Packaging Guangzhou Ltd.,MATERIALS,Apparel,Nike,,AVERY DENNISON,Tan Shan Village  Hua Long Town  Panyu,Guangzhou,Guangdong,511434,N ASIA,4049,2756,47,0,China
"Branch of Thuan Phuong Embroideries Garments Co., Ltd- M.D.K Factory ",FINISHED GOODS,Apparel,Nike,,THUAN PHUONG,09 09A To Ky Str Trung My Tay Ward Dist 12,Ho Chi Minh City,Ho Chi Minh,70000,SE ASIA,1085,855,72,0,Vietnam
Foundation Garments (Pvt) Ltd. Mawathag,FINISHED GOODS,Apparel,Nike,,FOUNDATION GARMENTS,Lot 03 EPZ Denver Estate Mawathagama,Kurunegala,Kurunegala,60060,S ASIA,1297,989,85,0,Sri Lanka
"SIGMA VIETNAM INDUSTRIAL CO.,LTD",FINISHED GOODS,Equipment,Nike,,SIGMA,AV AVI GIAO LONG INDUSTRIAL PARK II AN PHUOC COMMUNE,BENTRE,Bn Tre,86000,SE ASIA,1158,1047,75,0,Vietnam
PAIHO (WUXI 1),MATERIALS,Footwear,Nike,,PAIHO GROUP,NO 18 HEXIN RD XISHAN ECONOMIC DEVELOPMENT ZONE,WUXI CITY,Jiangsu,214101,N ASIA,981,685,80,2,China
PT Mercindo Global Manufaktur,FINISHED GOODS,Equipment,Nike,,MERCINDO,Jl Raya Semarang Bawen Km 29 Desa Samban Bawen,Ungaran,Jawa Tengah,50661,S ASIA,2302,2174,72,0,Indonesia
Wan Way,FINISHED GOODS,Equipment,Nike,Collegiate,WAN WAY,No 89 Sec 4,Tainan,Tainan,70966,N ASIA,9,6,33,0,Taiwan
"Colltex Garment Mfy Co., Ltd.(VN)",FINISHED GOODS,Apparel,Nike,Collegiate,ECLAT,Lot 28 Road No7 Trang Bang Industrial Park,Trang Bang,Tây Ninh,843440,SE ASIA,2010,1834,90,0,Vietnam
Far Eastern Dyeing & Finishing (SuZhou) LTD,MATERIALS,Apparel,Nike,Collegiate,FAR EASTERN,No 1588 Yinzhong S Road Hedong Industry Park,Suzhou,Jiangsu,215128,N ASIA,647,232,41,0,China
SHAHI EXPORTS PVT LTD UNIT 26,FINISHED GOODS,Apparel,Nike,Collegiate,SHAHI,Plot No 44 51 SY,Mandya,Karnataka,571428,S ASIA,5520,5270,84,0,India
PT Shoetown Kasokandel Indonesia,FINISHED GOODS - COMPONENTS,Footwear,Nike,,SHOETOWN,Jalan Raya Sumedang Cirebon,Majalengka,Jawa Barat,45453,S ASIA,4833,4400,49,0,Indonesia
Honways Apparel Shuyang Limited,FINISHED GOODS,Apparel,Nike,,HONSIN,No 6 Jiaxing Road East Shuyang Economic Dev Zone,Jiangsu Province,Jiangsu,223600,N ASIA,439,307,89,0,China
"COSMO TEXTILE CO.,LTD(ZHONGSHAN)",MATERIALS,Footwear,Converse,,COSMOPOLITAN TEXTILE,"Block 17 to 21 LongzhuYuan, Nanlang Industrial District",Zhongshan,Guangdong,528400,N ASIA,220,75,10,0,China
"Unichela (Pvt)Ltd, Vidiyal Division",FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Bharathipuram Road,Kilinochchi,Kilinochchi,44000,S ASIA,1968,1473,100,0,Sri Lanka
SAMIL TEXTILE CO LTD (Korea),MATERIALS,Footwear,Nike,,SAMIL,191 7  Noksansaneopjungro,Busan,Busan Gwangyeogsi,46753,N ASIA,46,20,52,0,South Korea
"Vung Tau Orient Co., Ltd",FINISHED GOODS,Equipment,Nike,Collegiate,FENG TAY,11 Road Dong Xuyen Industrial Zone Ward Rach Dua,Vung Tau,Bà Ra - Vung Tàu,78000,SE ASIA,1422,1371,61,0,Vietnam
VIETNAM CHINGLUH SHOES CO. Ltd.,FINISHED GOODS,Footwear,Nike,Collegiate,CHING LUH,Thuan Dao Industrial Park,Ben Luc County,Long An,700000,SE ASIA,17871,16435,80,0,Vietnam
HUA FENG (CHINA),MATERIALS,Footwear,Nike,,HUA FENG TEXTILE,West side,Putian,Fujian,351146,N ASIA,285,235,34,0,China
"Qingdao Changshin Shoes Co., LTD. Jimo Factory",FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Mocheng Road59 2,Qingdao,Shandong,266200,N ASIA,419,345,42,0,China
"Dongguan Youkai Industrial Co., Ltd",FINISHED GOODS,Equipment,Nike,Collegiate,DONGGUAN YOUKAI,Room 501 Building 2 No 11 Dalingshan Hupan Nan Yi Jie,Dongguan,Guangdong,523000,N ASIA,18,12,23,0,China
SHANGHAI YKK ZIPPER CO LTD (MINGHANG BRANCH),MATERIALS,Footwear,Nike,,YKK,No 468 Luchun Road,Shanghai,Shanghai,200245,N ASIA,2,1,1,100,China
ASIATAN (CHINA),MATERIALS,Footwear,Nike,,ASIATAN,93 TIANHE W ROAD BAI SHA VILLAGE,Jiangmen Guangdong,Guangdong,529000,N ASIA,322,255,52,0,China
Scavi Hue Company,FINISHED GOODS,Apparel,Nike,,SCAVI,Phong Dien Industrial Zone,Phong Dien,Tha Thiên-Hu,530000,SE ASIA,6031,5487,77,0,Vietnam
"Vietnam Chingluh Shoes Co., Ltd - Vinh Long Branch",FINISHED GOODS,Footwear,Nike,,CHING LUH,LOT G2-G8,VINH LONG,Vinh Long,89000,SE ASIA,1126,1024,66,0,Vietnam
CHANG SHIN DONG NAI COMPANY LTD,FINISHED GOODS,Footwear,Nike,,CHANGSHIN,LO IV II TAN PHU INDUSTRIAL ZONE,Dong Nai,Ðng Nai,76000,SE ASIA,2905,2584,93,0,Vietnam
"DECOTEX INTERNATIONAL, Ldta de C.V.",FINISHED GOODS,Apparel,Nike,,TEGRA,American Industrial Park Block H Calle Canada,Ciudad Arce,La Libertad,Zona 13,AMERICAS,2050,1679,54,0,El Salvador
"Shaanxi White River Apparel CO., LTD.",FINISHED GOODS,Apparel,Nike,,SPORTS CITY,South of Lijiazhuo community,Weinan City,Shaanxi,715600,N ASIA,800,470,55,0,China
"Shoetown Footwear Co.,Ltd",FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,Bapian Village Xuanzhen Road,Qingyuan City,Guangdong,511800,N ASIA,11180,9077,89,0,China
"FORMOSA TAFFETA CO., LTD.",MATERIALS,Apparel,Nike,,FORMOSA TAFFETA,317 Shuliou Road,Touliou,Yunlin,640,N ASIA,1868,1442,38,37,Taiwan
Der Will S.A.,FINISHED GOODS,Apparel,Nike,Collegiate,DER WILL,Monsenor de Andrea 3333 Villa de Mayo,Buenos Aires,Buenos Aires,1614,AMERICAS,222,212,61,10,Argentina
KUO YUEN (VIETNAM) TAY NINH,MATERIALS,Footwear,Nike,,KUO YUEN,Thanh Thanh Cong Industrial Zone,Trang Bang,Tây Ninh,840000,SE ASIA,414,347,40,6,Vietnam
WILSON (VIETNAM) LTD,FINISHED GOODS - COMPONENTS,Equipment,Nike,,WILSON GARMENT,Lot B5 1 Road D11,Trang Bang,Tây Ninh,840000,SE ASIA,500,450,55,6,Vietnam
"CAN SPORTS VIETNAM CO., LTD",FINISHED GOODS,Footwear,Nike,,SPORTS GEAR,THUAN HOA HAMLET TRUONG MIT COMMUNE,DUONG MINH CHAU DISTRICT,Tây Ninh,730000,SE ASIA,6380,4883,72,0,Vietnam
CHANG SHIN INDONESIA,FINISHED GOODS,Footwear,Nike,,CHANGSHIN,JL DUSUN GINTUNGKOLOT,KARAWANG,Jawa Barat,41371,S ASIA,15505,14112,90,0,Indonesia
"TREMON SPORTING GOODS ENTERPRISE CO.,LTD (A STRIKER)",FINISHED GOODS,Equipment,Nike,,TREMON,Lot 24 Road No6 Trang Bang Industrial Park,Tay Ninh,Tây Ninh,80000,SE ASIA,676,606,50,0,Vietnam
"Dalian YKK Zipper Co.,Ltd.",MATERIALS,Apparel,Nike,,YKK,No 50 Tieshan West Road,Dalian,Liaoning,116000,N ASIA,2,1,1,100,China
Paramount Apparel LLC. Winona MO,FINISHED GOODS,Apparel,Nike,Collegiate,PARAMOUNT,Highway 19,Winona,Missouri,65588,AMERICAS,115,109,60,0,USA
Mas Fabrics Pvt Ltd - Methliya,FINISHED GOODS,Apparel,Nike,Collegiate,MAS HOLDINGS,Mas Fabric Park,Kegalle,Kegalla,71000,S ASIA,2885,2282,86,0,Sri Lanka
PT YC TEC INDONESIA,FINISHED GOODS - COMPONENTS,Footwear,Nike,,YC TEC CORPORATION,Kp Cisantri RT 002 RW001,Purwakarta,Jawa Barat,41181,S ASIA,746,679,60,1,Indonesia
"Shoetown Hunan FOOTWEAR CO.,LTD",FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,"Deng Ta Road, Qiyang Development Zone",YongZhou City,Hunan,426100,N ASIA,2491,2098,86,0,China
"VERTEX APPAREL 2022 CO.,LTD.",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,18 Moo 2 Nonphueng Warinchamrap,Ubonratchathani,Ubon Ratchathani,34190,SE ASIA,1100,1040,74,17,Thailand
"Enping Kam Hing Textile And Dyeing Co., Ltd.",MATERIALS,Apparel,Converse,,KAM HING,No 68 Industrial North Road,Enping City,Guangdong,529400,N ASIA,1800,1500,33,0,China
FA.IS.A. d.o.o.,FINISHED GOODS,Equipment,Nike,,GATTO,Sveti Vidal 32 B,Novigrad,Istarska županija,52466,EMEA,47,42,90,0,Croatia
"Berry Apparel Cambodia Co., Ltd.",FINISHED GOODS,Apparel,Nike,,RAMATEX,Phum Chumpou Voin,Phnom Penh,Phnom Penh,12405,SE ASIA,3217,2994,89,0,Cambodia
DUCKSAN CO LTD (Vietnam),MATERIALS,Footwear,Nike,,DUCKSAN,Lot A4 Dat Cuoc Industrial Dat Cuoc ward,Bac Tan Uyen,Bình Duong,590000,SE ASIA,192,137,39,7,Vietnam
"Unipax Vi Thanh C.,Ltd.",FINISHED GOODS,Apparel,Nike,Collegiate,HWASEUNG CROWN,Land plot No 19 Map sheet No 7,Vi Thanh,Hu Giang,95000,SE ASIA,2530,2500,98,0,Vietnam
Staples Promotional Products,FINISHED GOODS,Apparel,Nike,Collegiate,STAPLES CONTRACT AND COMMERCIAL,1520 Albany Place SE,Orange City,Iowa,51041,AMERICAS,303,272,81,0,USA
"Kim's Embroidery, Inc.",FINISHED GOODS,Apparel,Nike,,KIMS EMBROIDERY,8770 SW Burnham Street,Tigard,Oregon,97223,AMERICAS,4,3,60,0,USA
TONG HONG TANNERY CO LTD (CHINA),MATERIALS,Footwear,Nike,,TONG HONG,HEPU COUNTY,Bekasi,Guangxi,536000,N ASIA,1050,850,40,0,China
Sterling Apparel Manufacturing L.L.C. Sahab,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Building D Altajamouat Industrial City,Sahab,Amman,11636,EMEA,1609,1512,75,73,Jordan
"SUMBER MASANDA JAYA, PT",FINISHED GOODS,Footwear,Nike,,PRATAMA,Jl Raya Bangsri,Brebes,Jawa Tengah,52253,S ASIA,12956,11660,85,0,Indonesia
Sarno Display S.r.l.,FINISHED GOODS,Equipment,Nike,,GATTO,Via Galileo Galilei 30,Carnate,Lombardia,20866,EMEA,104,64,58,0,Italy
"Sato knit Co., Ltd",FINISHED GOODS,Apparel,Nike,,SATO KNIT,2653 -1 Kitahama-machi,Amakusa-city,Kumamoto,863 0011,N ASIA,39,36,92,47,Japan
LION BROTHERS FAR EAST,FINISHED GOODS - COMPONENTS,Apparel,Nike,,LION BROTHERS,No  62 Upper North Lane 4 Shangnan Industrial Zone,Shenzhen,Guangdong,518125,N ASIA,355,265,51,0,China
Far Eastern Apparel Limited Vietnam,FINISHED GOODS,Apparel,Nike,Collegiate,FAR EASTERN,St 32 12A VSIP II A,Binh Duong,Bình Duong,750000,SE ASIA,1464,1083,73,0,Vietnam
Delta Socks Ltd.,FINISHED GOODS,Equipment,Nike,,DELTA,INDUSTRIAL ZONE 1 HAYOTZRIM ST,KARMIEL,H_efa,20100,EMEA,205,13,60,0,Israel
"Xiamen Goge Garment Co., LTD",FINISHED GOODS,Apparel,Nike,,XIAMEN GOGE,Room 703 No 9 to 6 Tongming North Road Tongan District,Xiamen,Fujian,361113,N ASIA,31,25,85,0,China
Viet Khanh Company Limited,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,Hoa Phuc Hamlet Hoa Khanh Ward,Tien Giang,Tin Giang,860000,SE ASIA,1359,1147,69,0,Vietnam
TKG TAEKWANG VINA JOINT STOCK COMPANY-DAK LAK BRANCH,FINISHED GOODS - COMPONENTS,Footwear,Nike,,TAEKWANG,Lot B24 to B34 Hoa Phu Industrial Zone,Buon Ma Thuot,Ðk Lk,63100,SE ASIA,2,1,1,0,Vietnam
HAYAFUJI,FINISHED GOODS,Footwear,Nike,,HAYAFUJI,"96-9, Haradaniinui-cho, Ookitayama",Kyoto-shi,Kyoto,603-8487,N ASIA,5,4,50,0,Japan
AVERY DENNISON (GUANGZHOU) CONVERTED PRODUCTS LTD,MATERIALS,Footwear,Nike,,AVERY DENNISON,7 Guangyi Road Nansha District,Guangzhou,Guangdong,511458,N ASIA,2935,1822,56,0,China
JK GARMENTS PVT LTD,FINISHED GOODS,Apparel,Nike,,HONSIN,MADAGALLA ROAD IBBAGAMUWA,KURUNEGALA,Kurunegala,60500,S ASIA,1018,767,86,0,Sri Lanka
HESHAN TOP EAGLE GARMENT LTD.,FINISHED GOODS,Apparel,Nike,,NICE APPAREL,NO 001 DISTRICT 3 OF HECHENG INDUSTRIAL PARK,Heshan,Guangdong,529727,N ASIA,684,368,95,0,China
"Pilotknit Sport Wear Co.,ltd.",FINISHED GOODS,Apparel,Nike,,PILOT,"89 13 Moo 2 Rama ll Road T Kokkrabur,Muang,Samut Sakhon,74000",Muang,Samut Sakhon,74000,SE ASIA,736,620,64,88,Thailand
PT Morich Indo Fashion,FINISHED GOODS,Apparel,Nike,,MORICH,JL RAYA KARANGJATI KM 25 GEMBONGAN KARANGJATI BERGAS,UNGARAN,Jawa Tengah,50552,S ASIA,2344,2228,78,0,Indonesia
"ECLAT TEXTILE CO., LTD.",MATERIALS,Apparel,Nike,,ECLAT,Number738 ZhonYang Road Shinjuang District,New Taipei City,New Taipei,242030,N ASIA,970,168,86,40,Taiwan
Vertical Knits S.A. de C.V.,FINISHED GOODS,Apparel,Nike,Collegiate,VERTICAL KNITS,CALLE 20 131 C X 27 Y 29,Baca,Yucatán,97450,AMERICAS,2236,1218,53,0,Mexico
"Ningbo Huayao Textile co.,ltd",FINISHED GOODS,Apparel,Nike,Collegiate,SHENZHOU,No 888 Tinhai Road Chunxiao Industrial Zone,Ningbo,Zhejiang,315800,N ASIA,617,555,86,0,China
"Textiles La Paz, L.L.C.",FINISHED GOODS,Apparel,Nike,,FUN TEES,Zona Franca El Pedregal,El Rosario La Paz,La Paz,28026,AMERICAS,2843,2178,51,0,El Salvador
"JOONGANG DYEING FABRIC CO., LTD",MATERIALS,Footwear,Nike,,JOONGANG TEXTILE,17 Hasinbeonyeong ro,Busan,Busan Gwangyeogsi,49432,N ASIA,22,17,12,29,South Korea
PAIHO (TAIWAN)- Knitting,MATERIALS,Footwear,Nike,,PAIHO GROUP,NO 575 HO KANG ROAD HO MEI TOWN CHANG HUA HSIEN,CHANG HUA HSIEN,Changhua,50844,N ASIA,813,462,58,43,Taiwan
"Song Hong Garment Factory- Factory 11,12,13,14",FINISHED GOODS,Apparel,Nike,,SONG HONG,Hai Phuong industrial zone Hai Hau district,Nam Dinh,Nam Ðnh,420000,SE ASIA,3466,1933,80,0,Vietnam
"Paramount Apparel International, LLC.",FINISHED GOODS,Apparel,Nike,Collegiate,PARAMOUNT,1916 Imperial Way,Bourbon,Missouri,65441,AMERICAS,293,92,60,0,USA
Ramatex Apparel Suzhou Ltd.,FINISHED GOODS,Apparel,Nike,,RAMATEX,"115 Ting Nan Lu, Wei Ting Town, Suzhou Industrial Park",Suzhou,Jiangsu,215121,N ASIA,596,551,92,0,China
Vo Nhai 1 Garment Branch – TNG Investment and Trading JSC,FINISHED GOODS,Apparel,Nike,,VO NHAI 1 GARMENT BRANCH,Cay Bong Industrial Park La Hien Commune Vo Nhai District,Thai Nguyen,Thái Nguyên,24000,SE ASIA,734,705,75,0,Vietnam
SAN FANG (TR1) (TAIWAN),MATERIALS,Footwear,Nike,,SAN FANG,NO 402 FENGREN ROAD,Kaohsiung,Kaohsiung,814,N ASIA,687,396,12,14,Taiwan
DASS Nordeste Calcados e Artigos Esportivos LTDA.,FINISHED GOODS,Footwear,Nike,,DASS,RUA PROFESSORA MARIA LIA CELIA VELLAME,SANTO ESTEVAO,Bahia,44190-000,AMERICAS,3778,3202,55,0,Brazil
AVERY DENNISON INDIA PVT LTD,MATERIALS,Apparel,Nike,,AVERY DENNISON,6B 1st Main Road,Bangalore,Karnataka,560058,S ASIA,398,389,0,0,India
"XingNing City XinChang Shoes Co., LTD. YeTang Branch",FINISHED GOODS - COMPONENTS,Footwear,Nike,Collegiate,DEAN SHOES,West side of Tongzhong Road Line S225,Meizhou,Guangdong,514000,N ASIA,780,684,70,0,China
"Pacific Athletic Wear, Inc. ",FINISHED GOODS,Apparel,Nike,,PACIFIC ATHLETIC WEAR,7340 Lampson Avenue,Garden Grove,California,92841,AMERICAS,101,86,65,0,USA
BAIKSAN (KOREA),MATERIALS,Footwear,Nike,,BAIKSAN,10 Noksansandan 382 ro,Busan,Gyeongsangnamdo,46757,N ASIA,57,30,0,0,South Korea
Avery Dennison Tekstil Urunleri Sanayi ve Ticaret Ltd. Sti.,MATERIALS,Apparel,Nike,,AVERY DENNISON,Gocerler Mahallesi Baskomutan Ataturk Caddesi,Tekirdag,Tekirdag,59600,EMEA,542,350,51,0,Turkey
"Dong Guan Goldenprene Sporting Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,Collegiate,GUANG DER,Summitop Industrial,"Liaobu Town, Dongguan",Guangdong,523405,N ASIA,921,676,67,0,China
"TMI Vietnam Co., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,TUNG MUNG,1365 1 National Road 1A An Phu Dong Ward District 12,Ho Chi Minh City,Ho Chi Minh,700000,SE ASIA,1619,1313,71,0,Vietnam
YOUNGIL (INDONESIA),MATERIALS,Footwear,Nike,,YOUNGIL LEATHER,GRAHA BALARAJA INDUSTRIAL ESTATE E3 E5,Tangerang Banten,Banten,15610,S ASIA,299,219,9,0,Indonesia
"JIANGSU JINHUBAO GARMENT CO., LTD",FINISHED GOODS,Apparel,Converse,,DECOR,LIDIAN TOWN GUANGLING DISTRICT,YANGZHOU,Jiangsu,225106,N ASIA,141,122,85,0,China
PT PRATAMA ABADI INDUSTRI,FINISHED GOODS,Footwear,Nike,,PRATAMA,Jalan Raya Bandung Tasikmalaya KM 43 Desa Cijolang,Garut,Jawa Barat,44186,S ASIA,6729,6401,94,0,Indonesia
"LEE BOU INTERNATIONAL BINH DUONG INT'L. CO., LTD",FINISHED GOODS - COMPONENTS,Apparel,Nike,Collegiate,LEE BOU LABEL ENTERPRISE,VSIP 2 A 10 NUMBER 30 STREET,Tan Uyen Town,Bình Duong,590000,SE ASIA,252,155,0,10,Vietnam
"Evermax Garment Accessories (Cambodia)Co., LTD",MATERIALS,Apparel,Nike,,MAXIM,Phum Trapeang Thnong,Khan Por Sen Chey,Phnom Penh,120901,SE ASIA,67,50,44,4,Cambodia
"BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI",FINISHED GOODS,Apparel,Nike,Collegiate,ASIAN SOURCING HEADWEAR,ROAD No 3 NHON TRACH 2 IZ NHON PHU,NHON TRACH,Ðng Nai,810000,SE ASIA,1680,1400,80,0,Vietnam
VINH TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,1A HUNG DAO VUONG WARD 1 VINH LONG CITY VINH LONG PROVINCE,Vinh Long,Vinh Long,84-0270,SE ASIA,1912,1818,73,0,Vietnam
"CHANG SHIN VIETNAM COMPANY, LTD.",FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Thanh Phu Vinh Cuu Dong Nai,Dong Nai,Ðng Nai,76000,SE ASIA,30283,26974,77,0,Vietnam
COCALQUI COOPERATIVA DE TRABALHO DA INDUSTRIA DE CALCADOS DE QUIXERAMOBIM LTDA.,FINISHED GOODS,Footwear,Nike,,ANIGER,AV JOSE G PINHEIRO 155 EDMILSON CORREIA,QUIXERAMOBIM,Ceará,63800-000,AMERICAS,4905,4867,53,0,Brazil
POVOLO SRL,FINISHED GOODS,Apparel,Nike,,POVOLO,VIA GRAN BRETAGNA 1,Gallarate,Varese,21013,EMEA,24,16,92,31,Italy
PT Victory Chingluh Indonesia,FINISHED GOODS,Footwear,Nike,,CHING LUH,JL Raya Pasarkemis Rajeg,Tangerang,Banten,15560,S ASIA,4217,3679,55,0,Indonesia
"Olive Apparel (Cambodia) Co., Ltd",FINISHED GOODS,Apparel,Nike,,RAMATEX,National Road No 3 Phum Prey Kambot,Phnom Penh,Phnom Penh,12405,SE ASIA,3404,3166,89,0,Cambodia
PT. Kanindo Makmur Jaya,FINISHED GOODS,Equipment,Nike,Collegiate,KANAAN,Jalan Raya Jepara Kudus Km 19 Dusun Pendosawalan,Jepara,Jawa Tengah,59462,S ASIA,6367,6272,62,0,Indonesia
South Island Garment Sdn Bhd,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,2468 Solok Perusahaan Dua,Perai,Pulau Pinang,13600,S ASIA,539,281,53,64,Malaysia
"Toyama Sports Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,,TOYAMA SPORTS,345 Fukumitsu,Nanto,Toyama,939-1637,N ASIA,3,2,0,0,Japan
EVEREST TEXTILE CO LTD,MATERIALS,Apparel,Nike,,EVEREST TEXTILE,No 256 Minghe Village,Tainan City,Tainan,743002,N ASIA,1439,811,51,57,Taiwan
Big Game Sports,FINISHED GOODS,Apparel,Nike,Collegiate,BIG GAME SPORTS,13835 Welch Rd,Dallas,Texas,75244,AMERICAS,68,51,36,0,USA
PT Semarang Garment,FINISHED GOODS,Apparel,Nike,Collegiate,KUKDONG,JL Soekarno Hatta Km 25,Semarang,Jawa Tengah,50552,S ASIA,3754,3394,94,0,Indonesia
Charmgo (Cambodia) Co. Ltd,FINISHED GOODS,Apparel,Nike,,CHARMGO,Pham Bostanei Kuhn Kaheing Srok Samrongtong Kampong Spey,Kampong Spey,Kampong Spueu,05207,SE ASIA,1557,1526,71,1,Cambodia
